transaction_amount,transaction_velocity,network_latency,merchant_age_days,geo_distance,device_risk,retry_count,bank_latency,hour_of_day,merchant_risk,fraud_label,routing_failure_label,reliability_failure_label
968.41,4,182.41,446.27,156.75,0.138,0,234.41,12,0.489,0,0,0
1503.39,0,216.76,1509.22,40.1,0.038,1,239.68,9,0.309,0,0,0
987.58,6,167.52,6.08,65.74,0.289,1,214.8,12,0.28,0,0,0
199.22,7,331.3,924.04,41.22,0.417,0,104.16,7,0.294,0,1,0
4434.04,1,407.78,198.83,26.11,0.33,0,170.38,23,0.41,0,0,1
6469.64,5,20.0,1712.39,86.34,0.313,1,39.68,1,0.174,0,0,1
3468.65,6,233.86,305.42,1.14,0.389,2,154.51,8,0.098,0,0,1
579.59,4,488.2,616.98,27.83,0.361,0,285.8,10,0.162,0,1,0
1478.09,3,362.25,319.23,106.48,0.193,1,123.17,0,0.676,0,1,0
1796.29,3,319.54,443.1,4.45,0.175,1,179.93,11,0.299,0,0,0
3290.5,3,129.59,590.9,11.63,0.395,0,312.26,2,0.351,0,0,1
3527.49,4,377.95,1101.19,161.73,0.341,0,92.63,7,0.114,0,0,0
867.68,6,264.62,102.95,159.67,0.119,2,236.85,10,0.349,1,1,1
1962.54,3,364.01,347.37,24.27,0.189,0,49.83,12,0.646,0,1,1
2856.29,4,542.37,816.51,69.77,0.186,0,269.01,14,0.465,0,0,1
7752.9,6,115.1,710.94,49.15,0.377,2,103.28,22,0.399,0,1,1
3657.4,5,446.14,1214.33,33.96,0.56,2,374.05,3,0.462,0,1,1
3980.08,7,237.1,1759.12,84.08,0.449,1,98.58,22,0.05,0,0,1
1966.14,5,421.42,79.04,52.61,0.057,0,241.2,11,0.038,0,0,0
7409.06,1,200.85,1000.97,4.77,0.039,0,335.24,7,0.784,0,0,1
2723.74,8,153.98,267.27,91.51,0.324,1,161.65,15,0.348,0,0,0
764.26,6,361.95,525.28,16.04,0.163,2,306.51,2,0.308,0,0,0
7356.72,4,72.04,790.6,50.11,0.42,0,264.99,23,0.056,0,0,1
3633.32,10,179.3,130.59,74.68,0.336,0,283.25,19,0.044,0,0,1
1160.91,3,179.53,340.44,113.97,0.104,0,186.17,10,0.38,0,0,0
1119.35,5,189.86,2986.51,129.68,0.162,1,315.98,0,0.338,0,1,0
2432.26,6,345.6,117.22,130.05,0.294,0,96.43,18,0.059,0,1,0
2873.21,5,334.05,69.61,53.53,0.062,1,192.74,18,0.457,0,0,0
2202.38,7,257.48,1450.21,48.93,0.122,2,205.87,3,0.476,0,0,1
2468.36,6,177.56,450.59,0.74,0.303,1,333.04,17,0.207,0,1,1
9896.71,3,249.84,898.63,4.42,0.548,1,167.48,0,0.427,0,0,1
5279.27,8,115.28,291.92,24.93,0.333,0,120.26,17,0.145,0,0,1
2187.76,6,114.56,176.95,78.72,0.221,0,229.0,7,0.44,0,0,0
4634.63,7,180.93,191.09,44.83,0.19,1,179.7,17,0.557,0,1,1
643.86,6,92.08,174.12,13.41,0.248,1,287.26,16,0.502,0,1,0
2691.7,4,282.38,226.92,6.56,0.192,2,290.63,15,0.87,1,1,1
11040.29,6,336.81,200.02,31.57,0.259,1,121.7,8,0.495,0,0,1
1453.83,6,266.87,1344.31,122.06,0.495,0,20.0,18,0.222,0,1,0
774.61,4,132.21,609.64,2.73,0.253,0,231.14,2,0.262,0,0,0
941.91,3,210.25,281.35,31.05,0.263,2,196.05,19,0.245,0,0,0
608.12,6,375.88,338.56,3.04,0.012,1,302.73,5,0.675,0,1,0
824.88,2,406.02,2532.23,14.39,0.159,2,88.36,5,0.353,0,0,0
1248.24,7,120.3,162.55,153.74,0.506,0,204.73,13,0.334,0,0,0
443.38,6,318.51,1742.56,5.53,0.492,0,70.08,4,0.372,0,0,0
1836.5,2,166.6,1067.88,2.61,0.303,0,148.0,21,0.204,0,0,0
4457.21,6,407.4,760.4,4.56,0.336,0,109.96,11,0.507,0,0,1
729.42,3,413.95,782.73,58.83,0.252,0,251.04,12,0.229,0,0,0
8260.86,5,20.0,439.85,0.61,0.128,1,259.91,3,0.448,0,0,1
3013.3,6,152.3,462.21,25.02,0.376,0,103.91,7,0.156,0,0,0
5067.39,3,315.31,1272.03,153.25,0.219,0,20.0,21,0.263,0,0,0
936.51,6,20.0,1332.23,3.57,0.132,0,205.67,19,0.135,0,0,0
4249.37,7,441.61,677.33,134.46,0.343,0,308.48,12,0.392,0,1,1
606.72,4,312.32,1170.86,6.25,0.292,0,181.57,14,0.098,0,0,0
4403.91,3,77.73,1328.81,6.84,0.515,1,246.22,13,0.32,0,0,0
2147.03,9,383.35,322.91,46.42,0.264,0,260.43,8,0.519,0,0,0
3144.0,7,384.29,781.17,13.98,0.304,1,177.16,4,0.187,0,1,1
558.03,6,332.88,457.87,0.15,0.323,0,233.73,4,0.467,0,0,0
738.73,11,315.48,82.61,69.21,0.123,0,20.0,17,0.501,0,1,0
3285.35,1,364.77,836.36,23.17,0.452,0,92.96,18,0.2,0,0,0
700.4,7,128.89,708.38,119.37,0.24,0,267.9,19,0.156,0,0,0
2873.27,7,282.35,86.6,16.29,0.321,0,230.04,20,0.296,0,0,0
460.75,4,162.56,58.76,55.33,0.482,1,232.97,7,0.351,0,1,0
4222.46,4,393.27,229.76,19.75,0.117,0,207.75,9,0.567,0,1,1
527.15,2,254.23,1433.8,8.03,0.339,3,245.06,20,0.53,0,1,0
3141.01,6,20.0,52.64,184.12,0.076,4,198.57,18,0.312,0,1,0
3380.0,5,73.4,493.49,44.36,0.487,3,63.18,8,0.013,0,0,1
900.75,6,247.98,157.82,91.54,0.178,0,217.25,1,0.277,0,0,0
3235.78,9,184.91,233.94,14.4,0.214,1,95.67,10,0.323,0,0,1
2345.94,6,189.78,1175.48,24.98,0.137,1,128.69,2,0.265,0,0,0
1054.85,6,159.78,1520.93,32.4,0.418,1,227.61,5,0.061,0,0,0
659.48,7,150.2,694.55,49.66,0.498,0,51.6,10,0.022,0,0,0
254.01,6,294.73,1591.64,25.12,0.319,1,226.42,11,0.626,0,1,0
2564.84,8,340.13,1555.22,14.21,0.478,0,89.62,13,0.324,1,0,1
378.11,2,281.64,200.33,10.53,0.184,1,179.09,6,0.162,0,0,0
1988.91,5,329.71,828.55,45.72,0.51,0,237.61,10,0.404,0,1,1
1389.3,10,257.57,1205.25,14.23,0.405,1,176.16,4,0.388,0,1,0
3565.8,3,64.52,658.7,25.26,0.241,0,172.34,12,0.444,0,0,0
1336.69,6,429.66,1311.0,1.76,0.261,0,223.58,6,0.333,0,1,0
1300.56,6,421.82,792.88,14.82,0.147,0,283.1,4,0.436,0,0,0
3758.86,7,324.79,267.77,32.99,0.392,0,290.11,14,0.308,0,0,1
2527.68,3,102.13,925.66,79.49,0.596,0,224.07,14,0.48,0,0,1
2480.35,10,73.14,709.39,23.34,0.229,1,353.81,3,0.536,1,0,0
2890.74,4,161.77,784.56,17.49,0.118,1,79.1,7,0.408,0,0,0
389.33,5,508.17,80.14,36.29,0.387,1,159.49,12,0.605,0,0,1
3853.7,1,294.79,107.5,2.55,0.365,0,143.62,20,0.353,0,0,1
3335.8,4,252.51,1348.42,21.84,0.362,0,185.8,2,0.081,0,0,0
654.14,4,265.11,451.48,7.27,0.359,1,299.39,8,0.057,0,0,0
1416.46,6,203.4,193.94,14.62,0.175,1,110.58,6,0.344,0,0,1
1738.35,2,242.84,77.8,24.77,0.231,1,234.89,18,0.631,0,0,0
1580.51,5,261.48,244.03,2.99,0.247,0,133.01,9,0.7,0,0,0
2524.66,5,180.86,279.87,79.79,0.49,1,111.81,21,0.087,0,0,0
7565.6,5,104.66,3257.95,16.06,0.059,0,44.73,5,0.388,0,0,1
5333.52,7,263.05,1439.05,13.25,0.148,1,197.0,5,0.131,0,0,1
486.76,7,157.83,65.36,21.05,0.315,0,47.58,15,0.289,0,0,0
3367.99,6,379.74,1104.09,22.93,0.191,1,187.66,7,0.591,0,0,1
6829.0,4,309.0,663.96,83.75,0.248,2,179.51,12,0.286,0,0,1
2661.93,5,237.35,207.51,16.76,0.292,1,160.75,20,0.17,0,0,0
5382.89,2,163.97,1098.16,30.86,0.131,0,136.2,3,0.329,0,0,1
13524.67,4,331.76,24.51,34.47,0.412,0,317.47,18,0.597,0,0,1
5032.69,9,336.61,1052.01,18.24,0.22,1,122.17,3,0.239,0,0,1
2319.97,6,195.22,1805.23,76.47,0.534,0,163.2,17,0.491,0,0,1
5141.44,4,292.87,1713.82,48.91,0.185,3,177.79,19,0.095,0,0,1
2089.93,8,147.04,1183.92,63.83,0.077,0,261.08,17,0.453,1,0,0
1851.78,5,269.74,2183.39,2.81,0.274,1,237.21,6,0.35,0,1,0
1272.31,8,151.85,982.96,85.61,0.21,1,122.76,17,0.308,0,0,0
8633.57,3,191.31,928.55,13.75,0.228,2,251.99,12,0.456,0,1,1
797.57,3,353.58,21.23,4.81,0.228,0,188.59,18,0.146,0,0,0
8369.65,3,391.77,153.11,54.09,0.282,0,254.53,14,0.304,0,0,1
2980.55,5,83.01,1216.51,12.29,0.173,0,113.12,1,0.504,0,1,0
446.17,8,231.54,4794.05,26.09,0.359,0,179.95,20,0.29,0,0,0
2611.42,9,331.32,1018.18,61.53,0.133,3,236.3,12,0.169,0,1,1
221.4,7,124.8,693.68,5.42,0.191,1,207.61,5,0.214,0,0,0
3379.58,4,202.36,162.1,6.83,0.309,2,236.29,7,0.151,0,1,1
4381.87,6,315.52,2363.86,54.67,0.269,3,277.24,17,0.494,0,1,1
999.89,7,185.33,839.25,29.86,0.174,2,223.83,16,0.28,0,0,0
2045.81,2,90.42,537.17,12.5,0.303,0,186.74,2,0.31,0,0,0
12761.11,3,209.82,1580.86,36.26,0.111,0,183.13,6,0.029,0,0,1
1090.35,2,224.66,2450.9,48.2,0.46,0,190.18,9,0.599,0,0,0
627.09,4,436.85,371.13,25.97,0.041,0,142.08,22,0.592,0,1,0
7955.85,5,532.55,580.18,9.49,0.306,1,49.29,8,0.356,0,0,1
12869.14,6,290.32,97.83,52.14,0.226,0,134.73,15,0.145,0,0,1
1814.74,4,261.4,2572.21,6.46,0.25,1,132.53,10,0.61,0,1,0
4971.43,0,116.69,102.88,53.0,0.009,0,141.75,8,0.404,0,0,1
6915.19,6,82.43,2116.38,15.79,0.234,0,176.8,1,0.268,0,0,1
860.5,4,389.41,169.6,0.07,0.421,2,167.52,16,0.411,0,0,0
1112.87,3,73.38,1915.54,31.35,0.062,1,281.35,21,0.074,0,0,0
6191.14,5,329.26,481.63,18.55,0.081,1,152.68,5,0.571,0,1,1
9749.92,6,536.35,717.32,13.03,0.139,0,173.41,10,0.484,0,0,1
3174.42,4,127.37,29.02,34.51,0.401,0,181.0,8,0.154,0,0,1
750.08,5,20.03,401.21,20.52,0.196,1,86.96,16,0.494,0,0,0
13187.98,4,307.62,544.02,17.48,0.358,1,121.99,14,0.096,0,0,1
1063.19,4,404.27,7.58,71.9,0.195,2,170.25,4,0.491,0,1,1
1293.18,4,131.17,865.07,4.33,0.282,1,189.4,13,0.35,0,0,0
2546.15,1,365.12,1460.56,25.36,0.31,1,150.51,2,0.221,0,1,1
8554.05,6,399.71,20.07,14.17,0.385,0,90.99,17,0.416,0,0,1
4247.03,5,295.87,542.66,16.8,0.273,0,200.17,4,0.072,0,0,1
2737.68,4,202.27,27.45,29.16,0.529,3,248.04,8,0.171,0,1,1
2873.51,6,346.89,1652.71,127.98,0.239,1,238.36,12,0.389,0,1,1
1888.46,5,187.37,140.26,53.82,0.181,0,295.48,12,0.131,0,0,1
3159.41,1,244.58,48.25,10.73,0.629,0,243.76,1,0.411,1,0,1
144.09,3,206.31,1559.84,42.48,0.213,0,150.03,20,0.393,0,1,0
1343.98,6,283.72,470.32,8.35,0.022,0,286.92,16,0.335,0,1,0
2301.51,5,271.15,80.22,108.26,0.08,2,348.44,10,0.496,0,0,0
571.91,2,246.9,835.12,27.57,0.49,1,108.44,23,0.653,0,0,0
2660.64,6,220.95,978.25,149.46,0.426,3,133.86,15,0.165,0,0,1
1473.7,6,321.4,672.08,54.29,0.681,1,171.15,0,0.432,0,0,0
10461.69,4,162.47,322.93,89.65,0.295,1,200.21,10,0.441,0,1,1
8716.91,5,152.67,441.99,9.88,0.329,0,145.9,17,0.14,0,0,1
1134.78,2,386.31,2478.05,96.53,0.198,0,136.45,6,0.215,0,0,0
1554.89,9,361.55,611.48,10.51,0.406,1,90.77,0,0.258,0,0,0
1679.17,4,166.94,404.75,186.82,0.331,0,173.96,7,0.21,0,0,0
1150.95,2,159.43,985.33,16.42,0.279,2,91.08,13,0.609,0,0,0
2197.39,1,166.19,63.37,57.61,0.64,0,256.81,13,0.324,1,0,1
847.01,5,28.49,274.25,39.54,0.114,0,207.37,1,0.486,0,0,0
583.7,2,363.36,205.44,32.56,0.319,1,153.94,12,0.384,0,0,0
3370.15,8,293.31,911.81,27.99,0.103,0,178.02,0,0.528,0,0,0
3393.2,6,142.32,740.9,24.2,0.096,1,194.46,19,0.379,0,0,0
808.91,4,334.91,1139.82,18.06,0.236,2,138.65,2,0.229,0,1,1
4426.46,3,356.13,445.18,45.47,0.242,1,280.31,1,0.207,0,1,1
961.43,8,243.99,152.87,207.42,0.206,1,286.69,14,0.419,0,0,0
2328.93,0,304.27,161.52,55.76,0.482,0,236.62,14,0.351,0,0,0
4106.57,4,301.71,1782.39,70.72,0.19,1,184.42,14,0.574,0,0,1
1748.28,2,248.26,62.28,53.1,0.312,0,314.86,12,0.209,0,0,0
2849.05,7,253.53,721.36,36.25,0.317,2,236.28,8,0.29,0,0,1
1078.76,2,293.91,210.83,84.94,0.137,1,261.58,5,0.545,0,0,1
1485.54,4,274.82,192.92,19.52,0.225,1,112.95,22,0.09,0,0,0
1471.65,5,197.12,82.87,15.95,0.349,1,107.97,22,0.629,0,0,0
856.99,7,183.83,3101.37,24.21,0.137,1,242.49,20,0.311,0,0,0
1515.08,1,441.64,50.34,43.23,0.076,2,179.11,20,0.579,0,1,0
384.28,5,204.87,127.9,0.0,0.138,2,193.67,5,0.382,0,1,0
1106.38,6,96.27,363.52,90.14,0.469,1,58.68,7,0.244,0,0,0
1359.84,2,391.46,486.75,18.06,0.065,0,114.96,10,0.036,0,0,0
1399.43,3,244.9,2409.48,45.91,0.453,2,165.31,3,0.42,0,0,1
1420.13,1,241.04,221.43,2.69,0.258,2,229.36,9,0.156,0,1,0
1699.75,7,243.22,1021.17,28.25,0.217,1,191.76,5,0.146,0,0,0
2920.3,3,400.67,854.6,3.52,0.373,0,209.95,21,0.234,0,1,1
4335.17,6,133.21,583.01,0.57,0.574,1,260.8,6,0.064,0,0,1
944.1,4,381.76,247.46,77.62,0.553,0,195.91,16,0.323,1,0,0
542.83,4,289.85,136.29,25.94,0.4,2,207.74,6,0.344,0,1,0
637.76,9,360.3,155.37,84.3,0.198,1,236.69,6,0.215,0,1,0
1110.76,11,195.5,339.71,20.57,0.216,2,267.96,2,0.04,0,1,1
1271.66,8,571.95,117.99,52.17,0.248,0,274.53,20,0.312,0,1,1
837.15,7,236.62,5000.0,4.95,0.125,2,210.03,21,0.57,0,1,1
494.67,5,242.57,472.21,10.57,0.431,1,244.97,1,0.448,0,0,0
1145.82,5,140.8,619.47,31.87,0.532,2,184.27,1,0.121,0,0,1
2167.71,8,234.63,766.64,29.04,0.249,0,171.61,5,0.563,0,1,0
3278.13,6,146.85,174.31,10.8,0.286,3,136.39,4,0.312,0,0,1
1035.44,5,509.73,525.84,102.31,0.289,0,159.96,15,0.361,0,0,0
1196.32,6,34.22,51.96,16.72,0.288,1,84.54,4,0.179,0,0,0
715.73,4,20.0,2783.34,27.87,0.427,1,297.54,2,0.295,0,0,0
1752.08,5,182.97,512.18,20.58,0.506,0,258.85,20,0.551,0,1,0
774.0,4,294.02,24.09,269.78,0.6,2,201.76,20,0.168,0,1,0
3207.12,3,412.75,731.18,21.28,0.19,1,102.36,13,0.461,0,0,1
303.12,5,266.29,84.39,15.36,0.353,0,265.26,15,0.324,0,0,0
1261.9,7,210.1,1248.44,118.64,0.606,0,201.64,3,0.25,0,0,0
2443.31,6,250.83,2452.16,8.56,0.065,1,112.45,23,0.295,0,1,1
2172.94,8,342.69,1986.9,125.17,0.212,0,315.44,22,0.059,0,1,1
26716.42,6,109.63,446.59,42.03,0.252,1,149.71,9,0.52,0,0,1
2565.22,6,368.22,997.46,12.63,0.362,0,208.5,15,0.405,0,1,0
662.45,4,26.45,135.5,14.52,0.42,0,271.0,16,0.11,0,0,0
1643.42,3,220.61,62.97,62.06,0.326,0,21.4,12,0.559,0,0,0
306.05,5,238.16,1376.52,2.01,0.052,0,74.95,0,0.499,0,0,0
1668.03,8,78.73,950.4,62.84,0.476,0,148.99,6,0.31,1,0,0
785.99,6,254.1,1900.65,18.55,0.383,0,293.72,5,0.591,0,0,0
4516.04,5,197.44,1968.22,82.58,0.601,0,294.97,10,0.474,0,1,1
1043.63,6,279.12,341.29,6.67,0.284,1,285.1,6,0.249,0,0,0
1608.78,9,284.6,306.94,14.33,0.602,1,126.89,14,0.336,0,1,1
957.61,9,294.62,466.57,28.9,0.409,2,166.37,4,0.279,0,0,0
10289.21,6,189.1,876.53,105.68,0.449,1,233.09,22,0.384,1,1,1
1311.28,4,268.22,4.0,16.71,0.328,0,121.44,22,0.311,0,0,0
11299.99,5,395.39,611.91,92.83,0.404,0,218.23,12,0.378,0,1,1
4081.22,4,345.63,15.94,5.38,0.149,2,205.32,22,0.172,0,0,1
2927.98,3,286.36,479.25,9.53,0.319,2,151.03,16,0.37,0,0,1
2614.25,10,134.03,68.69,8.6,0.242,1,173.5,6,0.388,0,0,0
2680.6,3,20.0,660.83,47.46,0.369,1,148.22,5,0.579,0,0,0
263.05,7,20.0,301.82,24.61,0.22,1,251.72,5,0.072,0,0,0
1368.02,9,326.74,521.47,99.56,0.567,0,312.93,10,0.402,0,0,0
4209.75,2,153.68,2530.26,33.26,0.234,0,236.65,7,0.175,0,0,1
1721.76,7,96.43,333.59,91.0,0.519,1,293.59,3,0.545,0,1,0
443.55,3,171.46,1016.33,13.74,0.399,0,248.05,19,0.426,0,0,0
1715.73,8,233.65,919.83,133.91,0.466,0,380.23,13,0.249,0,0,0
9937.85,8,260.11,1625.6,50.38,0.016,0,232.9,13,0.104,0,0,1
6291.1,4,161.99,325.67,35.23,0.485,1,20.0,12,0.392,0,0,1
1699.34,6,359.79,46.17,46.93,0.502,3,148.31,16,0.503,0,1,0
4681.85,4,223.8,2822.24,124.5,0.265,0,176.13,18,0.499,0,0,1
1253.25,4,219.7,359.98,20.97,0.31,2,102.74,4,0.572,0,1,0
329.02,5,139.05,172.28,14.11,0.388,4,232.98,11,0.166,0,1,0
717.33,5,483.89,1963.67,14.08,0.419,0,261.3,0,0.21,0,0,0
8629.04,7,230.2,169.18,180.1,0.198,1,232.42,16,0.362,0,0,1
1374.72,3,315.16,601.9,20.59,0.257,0,121.02,23,0.452,0,0,0
1417.45,3,270.77,1126.84,107.66,0.272,0,158.05,12,0.115,0,0,0
1339.65,2,399.26,1050.48,7.39,0.216,1,252.97,8,0.211,0,1,0
12138.49,3,148.22,23.93,28.16,0.31,1,266.59,11,0.352,0,0,1
9190.81,3,313.08,180.96,48.28,0.232,1,335.51,16,0.567,0,1,1
16626.95,4,212.2,1754.94,165.54,0.447,1,220.12,10,0.435,0,0,1
1542.18,3,272.72,644.48,56.55,0.676,1,279.93,12,0.268,0,0,0
2429.95,6,208.56,929.81,0.1,0.658,0,97.64,11,0.067,0,0,1
396.77,6,479.68,411.72,71.39,0.259,1,168.61,0,0.5,0,0,0
7918.32,7,236.51,1093.83,52.46,0.254,1,40.0,11,0.082,0,0,1
562.4,8,63.33,272.97,10.24,0.406,2,122.04,13,0.162,0,0,0
2245.71,4,234.48,211.2,48.44,0.212,2,177.44,23,0.325,0,1,1
603.47,4,265.99,4677.77,129.94,0.267,0,247.79,2,0.408,0,0,0
1003.38,5,265.71,137.25,0.23,0.238,0,159.27,12,0.747,0,0,0
782.69,6,97.3,3185.96,183.26,0.075,0,20.0,17,0.497,0,0,0
984.49,7,107.92,2088.48,17.56,0.288,0,289.67,10,0.561,0,0,0
1054.56,10,473.01,1003.3,46.76,0.309,0,222.38,9,0.302,0,0,1
1044.96,3,222.89,697.77,16.26,0.047,1,105.15,11,0.316,0,0,0
4160.26,3,235.37,3.63,65.63,0.039,0,102.76,20,0.305,0,0,1
598.93,4,500.67,806.91,36.27,0.216,0,170.17,17,0.282,0,0,0
2254.18,2,346.26,1184.17,15.25,0.068,1,244.03,15,0.082,0,0,0
6111.69,1,245.9,1056.03,35.0,0.413,2,295.82,6,0.175,0,0,1
1082.26,4,278.3,151.06,21.67,0.39,1,151.17,4,0.175,0,0,0
881.9,6,489.43,629.15,14.36,0.601,0,125.39,8,0.107,0,0,0
1435.8,4,174.0,639.16,44.92,0.399,1,135.38,9,0.195,0,0,1
5882.43,6,350.15,846.47,50.84,0.094,1,154.36,5,0.709,0,1,1
2195.37,5,331.76,1422.03,7.57,0.119,0,279.9,7,0.417,0,0,0
1062.93,3,257.24,958.47,132.37,0.103,0,121.09,17,0.297,0,0,0
2933.28,5,184.48,121.87,0.33,0.335,0,191.74,1,0.124,0,0,1
600.47,10,298.36,15.37,16.21,0.357,1,20.0,8,0.477,1,0,0
3573.71,2,249.68,117.49,21.03,0.375,1,170.42,3,0.273,0,0,0
2720.6,8,336.28,32.89,3.44,0.336,3,353.79,2,0.219,0,1,1
1329.01,4,53.34,459.26,4.72,0.629,1,164.59,14,0.266,0,0,0
781.66,6,631.97,266.98,94.01,0.111,0,167.41,14,0.423,0,1,0
744.95,2,321.33,5.87,22.46,0.257,1,72.16,3,0.119,0,0,0
3086.57,4,308.07,66.95,22.73,0.151,1,140.66,1,0.205,0,0,1
6179.42,7,496.63,405.39,58.33,0.313,0,256.2,3,0.262,0,1,1
955.94,6,175.02,2247.56,64.42,0.075,1,174.83,9,0.469,0,0,0
2859.46,3,166.65,4207.09,61.47,0.464,0,86.99,9,0.142,0,0,0
224.3,4,210.81,41.14,31.64,0.409,1,132.61,23,0.164,0,0,0
1007.66,4,510.68,1420.3,61.33,0.246,1,198.69,20,0.249,0,1,0
1752.75,7,238.89,523.54,128.82,0.363,1,264.17,7,0.346,1,0,0
728.01,5,580.94,776.26,7.24,0.213,0,98.58,21,0.271,0,0,0
708.74,7,186.11,564.13,42.76,0.201,2,319.4,6,0.49,0,0,0
927.25,4,20.0,2066.97,105.49,0.328,0,160.99,1,0.473,0,0,0
2421.62,3,48.13,520.81,168.64,0.281,0,222.47,1,0.417,0,0,0
1499.18,3,320.78,147.11,4.6,0.16,2,152.32,23,0.137,0,1,0
192.82,3,327.73,1210.77,149.61,0.226,0,241.78,13,0.455,0,0,0
216.87,3,293.53,576.87,64.81,0.141,0,146.59,23,0.373,0,0,0
985.49,4,126.51,99.61,64.48,0.127,1,140.66,1,0.204,0,1,0
2857.45,6,106.78,495.31,7.98,0.09,0,20.0,19,0.124,0,0,0
115.87,4,76.53,930.25,42.88,0.351,0,130.12,6,0.044,0,0,0
1096.93,11,212.29,280.6,22.2,0.273,2,318.75,6,0.454,0,0,0
1068.22,3,291.89,1944.09,44.04,0.236,1,102.0,0,0.43,0,1,1
7246.96,6,404.17,1517.47,66.86,0.46,0,69.04,2,0.466,0,0,1
1230.26,1,363.15,671.27,10.13,0.414,1,152.27,18,0.321,0,1,1
2651.79,10,271.75,44.72,8.3,0.223,1,253.27,13,0.544,0,1,1
2082.36,4,572.13,700.24,22.07,0.202,0,172.48,8,0.259,0,1,1
214.74,5,256.32,429.74,51.41,0.254,2,189.34,0,0.604,0,1,0
3897.95,3,20.0,1030.08,56.01,0.213,0,210.37,10,0.116,0,0,1
2242.61,6,90.24,248.52,46.93,0.349,1,245.59,2,0.184,0,0,0
3005.71,11,263.29,744.64,94.68,0.173,1,143.19,3,0.284,0,0,1
91696.34,6,89.84,646.73,66.37,0.107,1,185.27,16,0.181,1,1,1
224.95,3,408.17,598.68,35.13,0.115,0,152.6,3,0.317,0,0,0
10144.6,2,277.99,98.56,32.94,0.258,0,171.64,23,0.118,0,0,1
1356.35,5,411.74,538.5,79.9,0.046,0,82.29,12,0.386,0,0,0
2409.87,7,283.37,639.91,107.69,0.405,1,154.46,5,0.219,0,1,0
1727.6,3,20.0,2101.08,94.55,0.232,0,208.09,16,0.282,0,0,0
1182.95,1,431.83,494.23,34.29,0.311,1,147.89,18,0.496,0,0,0
1022.66,9,243.29,817.02,43.28,0.382,0,114.45,2,0.158,0,0,0
2513.69,6,249.41,673.77,77.16,0.29,0,37.76,18,0.182,0,0,0
396.56,6,307.31,173.77,43.3,0.173,0,215.78,16,0.497,0,1,0
3829.84,3,233.6,163.07,12.74,0.305,1,183.16,5,0.262,0,1,0
1192.5,4,318.31,1075.81,108.93,0.416,3,158.86,7,0.046,0,0,1
584.02,6,278.6,592.3,34.0,0.092,0,210.44,9,0.267,0,0,1
1152.84,2,244.94,1810.94,201.05,0.383,3,220.6,17,0.21,0,0,1
6355.97,7,78.47,1910.12,40.29,0.265,0,268.61,14,0.468,0,0,1
1058.56,8,255.33,282.0,24.46,0.166,0,99.02,10,0.327,0,0,0
2587.52,5,235.98,85.65,11.99,0.085,0,147.79,20,0.346,0,0,0
870.48,6,333.87,337.37,21.15,0.241,2,262.05,1,0.225,0,0,0
3858.07,3,346.13,55.51,12.46,0.098,1,37.07,10,0.584,0,0,1
3588.57,6,227.62,1215.88,127.32,0.239,0,271.78,16,0.2,0,0,1
11482.84,6,213.36,126.43,45.88,0.326,0,122.27,23,0.241,0,0,1
1516.92,5,395.9,1610.08,85.79,0.46,1,52.15,6,0.168,0,0,0
3528.59,8,337.78,429.36,11.68,0.464,0,165.17,13,0.456,0,0,1
1994.34,7,172.15,261.25,3.2,0.143,2,156.69,22,0.527,0,1,0
6606.91,5,62.52,556.95,27.14,0.461,0,238.66,21,0.349,0,0,1
881.1,2,467.67,744.05,137.63,0.218,0,170.44,19,0.246,0,0,0
3808.56,2,348.48,967.3,6.0,0.166,2,136.25,14,0.405,0,0,1
1488.17,9,363.22,330.21,77.7,0.629,0,125.59,18,0.301,0,0,0
1695.63,4,115.21,3258.26,3.05,0.442,0,202.15,7,0.232,0,0,0
1981.78,5,347.32,438.94,9.03,0.417,0,193.61,0,0.314,0,1,0
2326.78,11,133.84,1438.87,65.46,0.134,0,194.43,4,0.379,0,0,0
1609.65,3,378.24,28.39,11.85,0.554,1,144.69,3,0.558,0,1,1
2241.08,3,235.24,1203.93,1.11,0.083,1,240.81,11,0.436,0,1,0
8761.46,4,90.43,641.19,12.38,0.447,0,151.97,11,0.662,0,0,1
4843.78,3,272.64,816.49,65.98,0.331,0,241.4,5,0.494,0,1,1
4311.99,6,313.09,373.29,37.98,0.216,0,297.27,12,0.119,0,0,1
1146.49,7,323.17,629.69,39.62,0.311,1,213.93,1,0.433,0,0,0
743.05,2,256.42,2153.2,26.42,0.092,2,127.61,6,0.514,0,0,0
4699.92,4,20.0,390.26,7.88,0.335,0,220.16,17,0.235,0,0,1
4341.81,3,426.46,89.43,12.14,0.565,0,155.37,4,0.509,0,0,0
7884.63,5,324.63,1019.84,10.24,0.26,2,176.82,15,0.302,0,1,1
988.33,7,257.42,562.82,61.41,0.2,1,89.84,6,0.367,0,0,0
1437.2,5,404.34,442.63,93.9,0.2,1,206.47,17,0.762,0,0,0
350.91,4,93.06,1203.41,13.56,0.685,1,165.38,21,0.656,0,0,0
1221.13,5,206.52,660.75,9.47,0.105,0,208.74,17,0.38,0,0,0
4897.94,7,371.17,798.39,14.5,0.759,0,46.5,13,0.084,0,0,1
1134.0,6,511.21,2083.77,139.67,0.263,1,163.08,0,0.34,0,1,0
3430.56,3,195.1,48.23,12.02,0.296,0,20.0,22,0.325,0,0,1
